;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
14;ACB_Top100_18;15;Dorje;Centred and One;Centred and One;2016-10-14;1;31;4tFuHIX6TJSSBxgb5Ue9gl;309746;0.492;0.951;7;-5.756;1;0.0748;0.000131;0.000881;0.357;0.291;86.528;0.291;https://api.spotify.com/v1/tracks/4tFuHIX6TJSSBxgb5Ue9gl;4;spotify:track:4tFuHIX6TJSSBxgb5Ue9gl;[]
15;ACB_Top100_18;16;Avatar;Torn Apart;Black Waltz;2012-01-23;1;37;7JUp1MQdOOMDHBJ9MKi8uZ;388960;0.513;0.95;8;-3.642;0;0.0263;3.94e-05;0.638;0.369;0.62;97.007;0.62;https://api.spotify.com/v1/tracks/7JUp1MQdOOMDHBJ9MKi8uZ;4;spotify:track:7JUp1MQdOOMDHBJ9MKi8uZ;['alternative metal', 'gothenburg metal', 'groove metal', 'melodic death metal', 'nu metal']
16;ACB_Top100_18;17;Toska;Chalk Teeth;Ode to the Author;2016-02-27;1;30;4CTKdqsgBfZil8wJbOC1i4;347005;0.422;0.816;5;-7.885;0;0.0317;3.15e-05;0.916;0.337;0.396;96.632;0.396;https://api.spotify.com/v1/tracks/4CTKdqsgBfZil8wJbOC1i4;4;spotify:track:4CTKdqsgBfZil8wJbOC1i4;[]
17;ACB_Top100_18;18;Ofenbach;Katchi - Ofenbach vs. Nick Waterhouse;Katchi (Ofenbach vs. Nick Waterhouse);2017-08-25;1;72;2NF8A7C6tICScdRaZ0BrEe;151011;0.837;0.793;11;-5.048;0;0.0567;0.0261;9.04e-05;0.0743;0.87;124.988;0.87;https://api.spotify.com/v1/tracks/2NF8A7C6tICScdRaZ0BrEe;4;spotify:track:2NF8A7C6tICScdRaZ0BrEe;['tropical house']
18;ACB_Top100_18;19;SOJA;Moving Stones;Poetry In Motion;2017-10-27;1;34;012o3cdHonOHGYhHY0Jqwx;275185;0.626;0.769;2;-5.37;0;0.0342;0.395;8.19e-05;0.207;0.73;143.974;0.73;https://api.spotify.com/v1/tracks/012o3cdHonOHGYhHY0Jqwx;4;spotify:track:012o3cdHonOHGYhHY0Jqwx;['jawaiian', 'reggae']
19;ACB_Top100_18;20;Billy Talent;Pins And Needles;Billy Talent II;2006-06-23;1;48;3YuftIhLOyNyL9G29gpyB0;191226;0.586;0.866;7;-3.774;0;0.0345;0.00436;0.0;0.25;0.276;148.001;0.276;https://api.spotify.com/v1/tracks/3YuftIhLOyNyL9G29gpyB0;4;spotify:track:3YuftIhLOyNyL9G29gpyB0;['alternative metal', 'canadian punk', 'nu metal', 'pop punk', 'post-grunge', 'punk']
20;ACB_Top100_18;21;InClose;First Prophet;Synchronized;2017-11-03;1;6;0GMUgZPZLbHf4T9t6AzLOR;219299;0.651;0.674;10;-6.682;1;0.0293;2.82e-05;0.571;0.0916;0.558;119.994;0.558;https://api.spotify.com/v1/tracks/0GMUgZPZLbHf4T9t6AzLOR;4;spotify:track:0GMUgZPZLbHf4T9t6AzLOR;[]
21;ACB_Top100_18;22;HORSKH;Against;Gate;2017-04-10;1;7;0IlgZxMJAxvzC2e9PIV03t;207500;0.674;0.912;9;-4.858;1;0.155;1.28e-05;0.0211;0.886;0.313;124.961;0.313;https://api.spotify.com/v1/tracks/0IlgZxMJAxvzC2e9PIV03t;4;spotify:track:0IlgZxMJAxvzC2e9PIV03t;[]
22;ACB_Top100_18;23;Les Fatals Picards;Le retour à la terre;Coming Out (Standard);2011-03-11;1;44;715zIQcEj658KTFby8MJYp;232773;0.75;0.891;5;-5.033;1;0.0633;0.203;0.0;0.363;0.846;102.06;0.846;https://api.spotify.com/v1/tracks/715zIQcEj658KTFby8MJYp;4;spotify:track:715zIQcEj658KTFby8MJYp;['french folk pop', 'french reggae', 'french rock']
23;ACB_Top100_18;24;Brothers Moving;You;Brothers Moving;2012-07-18;1;32;2s3IW4qMGuPBR2ka7jI66n;307200;0.803;0.546;4;-11.468;1;0.0942;0.0382;0.0797;0.0791;0.613;102.427;0.613;https://api.spotify.com/v1/tracks/2s3IW4qMGuPBR2ka7jI66n;4;spotify:track:2s3IW4qMGuPBR2ka7jI66n;[]
