;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
13;LaB_Top100_18;14;Sufjan Stevens;All Delighted People (Original Version);All Delighted People EP;2010-12-07;1;36;3ybmOJTwaJY9Wlu1XP1fDv;698173;0.311;0.417;7;-8.71;1;0.0364;0.876;0.000236;0.669;0.254;115.418;0.254;https://api.spotify.com/v1/tracks/3ybmOJTwaJY9Wlu1XP1fDv;4;spotify:track:3ybmOJTwaJY9Wlu1XP1fDv;['chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'singer-songwriter', 'stomp and holler']
14;LaB_Top100_18;15;P!nk;Where We Go;Beautiful Trauma;2017-10-13;1;60;4kUHQ01RTSbI75az5hjdOR;267493;0.636;0.738;3;-4.366;1;0.045;0.00834;0.0;0.163;0.476;115.028;0.476;https://api.spotify.com/v1/tracks/4kUHQ01RTSbI75az5hjdOR;4;spotify:track:4kUHQ01RTSbI75az5hjdOR;['dance pop', 'pop', 'post-teen pop']
15;LaB_Top100_18;16;Adele;Love In The Dark;25;2015-11-20;1;58;0TwATqrZsK5b77bjaPAq23;285935;0.472;0.341;9;-6.057;0;0.0291;0.528;0.0;0.109;0.154;109.901;0.154;https://api.spotify.com/v1/tracks/0TwATqrZsK5b77bjaPAq23;4;spotify:track:0TwATqrZsK5b77bjaPAq23;['pop']
16;LaB_Top100_18;17;Miranda Frigon;Invisible;First;2016-08-27;1;13;3cjldIdbvpPdgRtrvDGKZC;214946;0.693;0.507;0;-7.668;0;0.0355;0.804;0.0;0.108;0.443;92.003;0.443;https://api.spotify.com/v1/tracks/3cjldIdbvpPdgRtrvDGKZC;4;spotify:track:3cjldIdbvpPdgRtrvDGKZC;[]
17;LaB_Top100_18;18;Miley Cyrus;Girls Just Wanna Have Fun;Breakout;2008-01-01;1;46;0UtY0CNrsMq1ExfTdLoZ3x;186426;0.516;0.983;11;-4.217;0;0.219;0.00488;1.54e-06;0.496;0.375;150.008;0.375;https://api.spotify.com/v1/tracks/0UtY0CNrsMq1ExfTdLoZ3x;4;spotify:track:0UtY0CNrsMq1ExfTdLoZ3x;['dance pop', 'pop', 'post-teen pop']
18;LaB_Top100_18;19;John Adams;Hallelujah Junction - 1st movement -;Road Movies;2004-05-04;1;51;4A1VmZQ2rdCS07En1TLDNb;429933;0.525;0.144;8;-22.617;1;0.0349;0.984;0.89;0.186;0.321;115.509;0.321;https://api.spotify.com/v1/tracks/4A1VmZQ2rdCS07En1TLDNb;4;spotify:track:4A1VmZQ2rdCS07En1TLDNb;['american contemporary classical', 'avant-garde', 'classical', 'compositional ambient', 'contemporary classical', 'minimal']
19;LaB_Top100_18;20;Ruth B.;Golden;The Intro;2015-11-27;1;50;72xFgK8VpmUILQcXMNCLGN;276053;0.535;0.207;10;-9.193;1;0.0416;0.974;0.0;0.12;0.532;110.272;0.532;https://api.spotify.com/v1/tracks/72xFgK8VpmUILQcXMNCLGN;3;spotify:track:72xFgK8VpmUILQcXMNCLGN;['dance pop', 'pop', 'post-teen pop', 'viral pop']
20;LaB_Top100_18;21;Eleni Hatzidou;Ise Oli i Zoi mou;Eleni Hatzidou;2016-06-29;1;16;25p7rw5TtzjrS9l7kQ8tls;198000;0.666;0.913;6;-5.031;0;0.0936;0.0907;0.0;0.121;0.918;168.03;0.918;https://api.spotify.com/v1/tracks/25p7rw5TtzjrS9l7kQ8tls;4;spotify:track:25p7rw5TtzjrS9l7kQ8tls;['laiko']
21;LaB_Top100_18;22;Witold Lutosławski;Concerto for Orchestra: II. Capriccio notturno e arioso;Lutosławski: Concerto for Orchestra & Symphony No. 1;2014-03-04;1;1;5O9Ab2PUTDjElXEB3aYnZZ;369840;0.258;0.125;10;-23.576;0;0.0449;0.908;0.795;0.33;0.0556;80.104;0.0556;https://api.spotify.com/v1/tracks/5O9Ab2PUTDjElXEB3aYnZZ;4;spotify:track:5O9Ab2PUTDjElXEB3aYnZZ;['avant-garde', 'classical', 'contemporary classical', 'early modern classical', 'polish contemporary classical']
22;LaB_Top100_18;23;LP;Forever for Now;Forever For Now (Deluxe Edition);2017-08-25;1;60;1wMpTjS9cNpdmxgJloFG30;250120;0.547;0.341;4;-10.072;0;0.0305;0.904;0.00149;0.0953;0.0647;137.052;0.0647;https://api.spotify.com/v1/tracks/1wMpTjS9cNpdmxgJloFG30;3;spotify:track:1wMpTjS9cNpdmxgJloFG30;['indie rock']
23;LaB_Top100_18;24;Rachel Platten;Hands;Waves;2017-10-27;1;34;2vDV1IiMZeFHMnVpxarTYy;234560;0.616;0.193;7;-10.532;0;0.0622;0.917;0.0;0.251;0.381;100.327;0.381;https://api.spotify.com/v1/tracks/2vDV1IiMZeFHMnVpxarTYy;4;spotify:track:2vDV1IiMZeFHMnVpxarTYy;['dance pop', 'pop', 'post-teen pop', 'viral pop']
24;LaB_Top100_18;25;Sufjan Stevens;Drawn to the Blood;Carrie & Lowell;2015-03-31;1;50;4D0R0cPruef7gbtp91aFVT;198478;0.551;0.0913;10;-22.134;0;0.0385;0.953;0.418;0.105;0.0611;124.005;0.0611;https://api.spotify.com/v1/tracks/4D0R0cPruef7gbtp91aFVT;4;spotify:track:4D0R0cPruef7gbtp91aFVT;['chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'singer-songwriter', 'stomp and holler']
25;LaB_Top100_18;26;Loredana Bertè;J'adore Venise;Traslocando;1982-09-20;1;49;4COAOWTtlt8WgtA7AoxSeT;256306;0.695;0.647;4;-9.652;0;0.0353;0.263;0.000492;0.0539;0.88;116.774;0.88;https://api.spotify.com/v1/tracks/4COAOWTtlt8WgtA7AoxSeT;4;spotify:track:4COAOWTtlt8WgtA7AoxSeT;['classic italian pop', 'italian arena pop', 'italian pop']
26;LaB_Top100_18;27;Lea Michele;Proud;Places;2017-04-28;1;48;2P6pcE74d5TMQLy4fn6TqD;179053;0.511;0.546;5;-6.448;0;0.0399;0.475;0.0;0.148;0.37;128.41;0.37;https://api.spotify.com/v1/tracks/2P6pcE74d5TMQLy4fn6TqD;4;spotify:track:2P6pcE74d5TMQLy4fn6TqD;['dance pop', 'hollywood', 'pop', 'post-teen pop', 'show tunes', 'viral pop']
27;LaB_Top100_18;28;Adele;Send My Love (To Your New Lover);25;2015-11-20;1;74;3KZcrZ36LW9RnChK1iIkth;223078;0.688;0.532;6;-8.361;0;0.0875;0.0356;3.08e-06;0.172;0.565;164.068;0.565;https://api.spotify.com/v1/tracks/3KZcrZ36LW9RnChK1iIkth;4;spotify:track:3KZcrZ36LW9RnChK1iIkth;['pop']
28;LaB_Top100_18;29;Miley Cyrus;FU;Bangerz (Deluxe Version);2013-10-04;1;61;6dDIOU6AqgLkrjFNPgvKY6;229693;0.548;0.833;7;-3.294;1;0.0497;0.199;0.0;0.305;0.467;190.029;0.467;https://api.spotify.com/v1/tracks/6dDIOU6AqgLkrjFNPgvKY6;3;spotify:track:6dDIOU6AqgLkrjFNPgvKY6;['dance pop', 'pop', 'post-teen pop']
29;LaB_Top100_18;30;Bea Miller;brand new eyes;"brand new eyes (From ""Wonder"")";2017-08-04;1;2;0msFMpyMu9xxkpEg1ipSst;207436;0.588;0.654;5;-7.063;1;0.0558;0.658;2.86e-05;0.102;0.74;120.052;0.74;https://api.spotify.com/v1/tracks/0msFMpyMu9xxkpEg1ipSst;4;spotify:track:0msFMpyMu9xxkpEg1ipSst;['dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'talent show', 'viral pop']
30;LaB_Top100_18;31;Julia Michaels;Don't Wanna Think;Nervous System;2017-07-28;1;2;1U8pfdgPvqYXLTaAlaTlk1;179560;0.528;0.413;0;-6.592;1;0.0529;0.664;0.0;0.102;0.235;129.982;0.235;https://api.spotify.com/v1/tracks/1U8pfdgPvqYXLTaAlaTlk1;4;spotify:track:1U8pfdgPvqYXLTaAlaTlk1;['dance pop', 'electropop', 'pop', 'post-teen pop']
31;LaB_Top100_18;32;Demi Lovato;Daddy Issues;Tell Me You Love Me;2017-09-29;1;3;270nmdCrJaFwO9y9sFso9R;189933;0.611;0.778;9;-6.691;1;0.0864;0.0233;2.48e-06;0.241;0.23;100.081;0.23;https://api.spotify.com/v1/tracks/270nmdCrJaFwO9y9sFso9R;4;spotify:track:270nmdCrJaFwO9y9sFso9R;['dance pop', 'pop', 'post-teen pop']
32;LaB_Top100_18;33;Ruth B.;Superficial Love;The Intro;2015-11-27;1;71;5hwh37sTi84MVhCBMWzhGE;207973;0.477;0.242;8;-9.162;1;0.0529;0.928;0.0;0.0818;0.488;43.509;0.488;https://api.spotify.com/v1/tracks/5hwh37sTi84MVhCBMWzhGE;4;spotify:track:5hwh37sTi84MVhCBMWzhGE;['dance pop', 'pop', 'post-teen pop', 'viral pop']
33;LaB_Top100_18;34;Mylène Farmer;N'oublie pas;N'oublie pas;2018-06-22;1;38;4zdXkOPXnk4HPk5Y3v4WoE;224181;0.325;0.555;5;-6.721;0;0.0395;0.0845;0.0;0.161;0.288;100.515;0.288;https://api.spotify.com/v1/tracks/4zdXkOPXnk4HPk5Y3v4WoE;4;spotify:track:4zdXkOPXnk4HPk5Y3v4WoE;['chanson', 'french pop']
34;LaB_Top100_18;35;Kelly Clarkson;Move You;Meaning Of Life;2017-10-27;1;51;3g9rfVxgLrcHEAjnbnulQi;202360;0.634;0.492;7;-7.25;1;0.0424;0.0169;3.53e-06;0.351;0.101;137.981;0.101;https://api.spotify.com/v1/tracks/3g9rfVxgLrcHEAjnbnulQi;4;spotify:track:3g9rfVxgLrcHEAjnbnulQi;['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'talent show']
35;LaB_Top100_18;36;P!nk;Halfway Gone;Served Like a Girl (Music from and Inspired by the Documentary Film);2017-11-03;1;17;4yZHvQxnxWQInU01D74HbL;193673;0.419;0.881;5;-2.297;1;0.0471;0.00152;0.0;0.302;0.199;165.977;0.199;https://api.spotify.com/v1/tracks/4yZHvQxnxWQInU01D74HbL;4;spotify:track:4yZHvQxnxWQInU01D74HbL;['dance pop', 'pop', 'post-teen pop']
36;LaB_Top100_18;37;Vladimir Martynov;Vladimir Martynov: The Beatitudes;Music of Vladimir Martynov;2012-01-06;1;39;35bfCo1peMNIjrsrMPm7Aw;326786;0.103;0.114;10;-20.098;1;0.0456;0.931;0.787;0.141;0.0488;89.754;0.0488;https://api.spotify.com/v1/tracks/35bfCo1peMNIjrsrMPm7Aw;4;spotify:track:35bfCo1peMNIjrsrMPm7Aw;['minimal', 'russian contemporary classical']
37;LaB_Top100_18;38;James McAlister;Mercury;Planetarium;2017-06-09;1;48;4Bxvw6HTZ84nphqBsrIk5t;312451;0.464;0.301;5;-14.235;1;0.0338;0.982;0.707;0.122;0.149;159.942;0.149;https://api.spotify.com/v1/tracks/4Bxvw6HTZ84nphqBsrIk5t;4;spotify:track:4Bxvw6HTZ84nphqBsrIk5t;[]
38;LaB_Top100_18;39;Maude Latour;Wasted;Wasted;2017-06-09;1;17;6Bv5pHVtKR80RcsQhJdNbh;216494;0.546;0.366;6;-11.705;0;0.0443;0.554;1.27e-06;0.0832;0.146;135.955;0.146;https://api.spotify.com/v1/tracks/6Bv5pHVtKR80RcsQhJdNbh;4;spotify:track:6Bv5pHVtKR80RcsQhJdNbh;[]
