;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
14;AG_Top100_18;15;Brigitte;A bouche que veux-tu;A bouche que veux-tu;2014-11-17;1;46;4aAkUbicSvQKrEv3hvBen2;385680;0.518;0.654;10;-7.345;1;0.0344;0.137;7.73e-05;0.118;0.144;115.918;0.144;https://api.spotify.com/v1/tracks/4aAkUbicSvQKrEv3hvBen2;4;spotify:track:4aAkUbicSvQKrEv3hvBen2;['chanson', 'french indie pop', 'french indietronica', 'french rock']
15;AG_Top100_18;16;Childish Gambino;Me and Your Mama;"""Awaken, My Love!""";2016-12-02;1;66;4r0GVpjSsKSR1biv4fOoa5;379226;0.556;0.45;5;-11.874;1;0.0338;0.0105;0.0483;0.0707;0.25;117.99;0.25;https://api.spotify.com/v1/tracks/4r0GVpjSsKSR1biv4fOoa5;3;spotify:track:4r0GVpjSsKSR1biv4fOoa5;['atl hip hop', 'hip hop', 'pop rap', 'rap']
16;AG_Top100_18;17;Joe Hisaishi;HIGHLIGHTS FROM NAUSICA OF THE VALLEY OF THE WIND;Premium Wind Ensemble Collection of GHIBLI;2012-08-08;1;35;6evO0a5AGcbYDJjYhq3JaV;585573;0.172;0.278;8;-14.709;1;0.0375;0.916;0.847;0.09;0.0745;83.15;0.0745;https://api.spotify.com/v1/tracks/6evO0a5AGcbYDJjYhq3JaV;4;spotify:track:6evO0a5AGcbYDJjYhq3JaV;['anime', 'anime score', 'japanese classical', 'japanese soundtrack', 'scorecore', 'soundtrack']
17;AG_Top100_18;18;a-ha;Take On Me - MTV Unplugged;MTV Unplugged - Summer Solstice;2017-10-06;2;11;7CFN1zqKSjucIyDzcrqE6I;253906;0.47;0.198;9;-13.308;1;0.0404;0.965;2.87e-05;0.686;0.307;128.988;0.307;https://api.spotify.com/v1/tracks/7CFN1zqKSjucIyDzcrqE6I;4;spotify:track:7CFN1zqKSjucIyDzcrqE6I;['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']
18;AG_Top100_18;19;Arctic Monkeys;Star Treatment;Tranquility Base Hotel & Casino;2018-05-10;1;61;0b93tWwuoAC0nXe1CfR30I;354640;0.581;0.767;7;-5.026;0;0.0527;0.243;0.00131;0.141;0.673;120.07;0.673;https://api.spotify.com/v1/tracks/0b93tWwuoAC0nXe1CfR30I;4;spotify:track:0b93tWwuoAC0nXe1CfR30I;['garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']
19;AG_Top100_18;20;Nouvelle Vague;Dance With Me;Bande à Part;2006-06-26;1;52;4YQhGLwuomdg5Ca1B6Rn1n;220426;0.679;0.462;9;-7.478;0;0.0284;0.792;0.00256;0.122;0.292;126.035;0.292;https://api.spotify.com/v1/tracks/4YQhGLwuomdg5Ca1B6Rn1n;4;spotify:track:4YQhGLwuomdg5Ca1B6Rn1n;['lounge']
20;AG_Top100_18;21;Electric Guest;Zero;Plural;2017-02-17;1;26;1GZdTKkeb50dltZZb4dYM3;228213;0.79;0.317;0;-8.629;0;0.0331;0.694;4.28e-06;0.107;0.456;122.013;0.456;https://api.spotify.com/v1/tracks/1GZdTKkeb50dltZZb4dYM3;4;spotify:track:1GZdTKkeb50dltZZb4dYM3;['alternative dance', 'indie pop', 'indie poptimism', 'indie psych-rock', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'shimmer pop', 'vapor soul']
21;AG_Top100_18;22;Nicole Croisille;Téléphone-moi;Téléphone-moi / Tu m'avais dit - Single;1975-01-01;1;42;5zILwyLYKdDRgMBfuOZYob;190320;0.294;0.589;4;-6.121;0;0.0303;0.585;1.42e-05;0.633;0.437;111.671;0.437;https://api.spotify.com/v1/tracks/5zILwyLYKdDRgMBfuOZYob;4;spotify:track:5zILwyLYKdDRgMBfuOZYob;['chanson', 'ye ye']
22;AG_Top100_18;23;Jessica Curry;Counting the Atmospheres;So Let Us Melt;2017-09-22;1;37;6lPEVX2GfpV9AuV4FDMrwY;430928;0.0978;0.22;2;-18.126;1;0.0438;0.931;0.833;0.113;0.0298;59.429;0.0298;https://api.spotify.com/v1/tracks/6lPEVX2GfpV9AuV4FDMrwY;4;spotify:track:6lPEVX2GfpV9AuV4FDMrwY;['deep chiptune', 'scorecore', 'video game music']
23;AG_Top100_18;24;Jain;Heads Up;Zanaka (Deluxe);2016-11-25;1;39;1xXYPPWQkPjILLxjisFjni;211213;0.799;0.552;5;-8.952;0;0.111;0.314;0.233;0.0877;0.394;131.962;0.394;https://api.spotify.com/v1/tracks/1xXYPPWQkPjILLxjisFjni;4;spotify:track:1xXYPPWQkPjILLxjisFjni;['french indie pop']
