;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
14;MD_Top100_18;15;Joe Ghost;Give Me the Night;Begin Again;2018-04-27;1;31;3h7Hxvb28QOp10WXbyLMru;196129;0.335;0.755;9;-5.192;0;0.271;0.122;0.0;0.0838;0.232;186.492;0.232;https://api.spotify.com/v1/tracks/3h7Hxvb28QOp10WXbyLMru;4;spotify:track:3h7Hxvb28QOp10WXbyLMru;[]
15;MD_Top100_18;16;Cardi B;I Like It;Invasion of Privacy;2018-04-05;1;58;3bsycjdQtbcJeR6822SBvd;253390;0.814;0.721;5;-4.026;0;0.136;0.0981;0.0;0.378;0.643;136.05;0.643;https://api.spotify.com/v1/tracks/3bsycjdQtbcJeR6822SBvd;4;spotify:track:3bsycjdQtbcJeR6822SBvd;['pop', 'rap']
16;MD_Top100_18;17;Little Big Town;Pontoon;Cottage Music: Country Party;2018-07-27;1;14;29SkB28NEZwOBcOmmybzoG;211760;0.724;0.768;4;-7.018;0;0.0253;0.501;0.0;0.208;0.828;95.986;0.828;https://api.spotify.com/v1/tracks/29SkB28NEZwOBcOmmybzoG;4;spotify:track:29SkB28NEZwOBcOmmybzoG;['canadian contemporary country', 'contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']
17;MD_Top100_18;18;Kacey Musgraves;Slow Burn;Golden Hour;2018-03-30;1;68;6ET9kf9riLETWs9lePUEAI;246133;0.555;0.43;2;-9.105;1;0.0295;0.462;0.000191;0.0869;0.274;147.613;0.274;https://api.spotify.com/v1/tracks/6ET9kf9riLETWs9lePUEAI;4;spotify:track:6ET9kf9riLETWs9lePUEAI;['contemporary country', 'country dawn']
18;MD_Top100_18;19;Kip Moore;I'm To Blame;Wild Ones (Deluxe);2015-08-21;1;52;15bIuGUsLwF0gxI48HKoEd;136013;0.688;0.878;7;-5.358;1;0.0384;0.303;0.0;0.0775;0.895;89.989;0.895;https://api.spotify.com/v1/tracks/15bIuGUsLwF0gxI48HKoEd;4;spotify:track:15bIuGUsLwF0gxI48HKoEd;['canadian contemporary country', 'contemporary country', 'country', 'country road', 'modern country rock']
19;MD_Top100_18;20;Justin Timberlake;Say Something;Say Something;2018-01-25;1;63;09ts3GnICqYEU5PkQCpJK3;278893;0.707;0.632;10;-7.031;1;0.0789;0.103;1.09e-05;0.0841;0.372;97.04;0.372;https://api.spotify.com/v1/tracks/09ts3GnICqYEU5PkQCpJK3;4;spotify:track:09ts3GnICqYEU5PkQCpJK3;['dance pop', 'pop']
20;MD_Top100_18;21;Luke Combs;One Number Away;This One's for You;2017-06-02;1;76;4gB7HrYHbJVJ5RFOjxmoq4;221800;0.544;0.781;6;-6.16;0;0.0311;0.00585;0.0;0.191;0.527;144.075;0.527;https://api.spotify.com/v1/tracks/4gB7HrYHbJVJ5RFOjxmoq4;4;spotify:track:4gB7HrYHbJVJ5RFOjxmoq4;['contemporary country', 'country road']
21;MD_Top100_18;22;Mat McHugh;Sideways - Extended Version;Sideways;2017-01-20;1;27;2STYBg4kPENuifP45gIgu7;278419;0.721;0.742;4;-3.982;1;0.0504;0.038;0.000153;0.177;0.524;115.954;0.524;https://api.spotify.com/v1/tracks/2STYBg4kPENuifP45gIgu7;4;spotify:track:2STYBg4kPENuifP45gIgu7;[]
22;MD_Top100_18;23;Luke Bryan;Sunrise, Sunburn, Sunset;What Makes You Country;2017-12-08;1;68;53yTYusPQJ1AApL1hi0Dnc;216093;0.472;0.884;9;-2.306;1;0.0584;0.185;0.0;0.178;0.718;159.96;0.718;https://api.spotify.com/v1/tracks/53yTYusPQJ1AApL1hi0Dnc;4;spotify:track:53yTYusPQJ1AApL1hi0Dnc;['contemporary country', 'country', 'country road']
23;MD_Top100_18;24;Brothers Osborne;A Little Bit Trouble;Port Saint Joe;2018-04-20;1;50;5b7F5Dz5LjxMGvU3n2vqc5;244733;0.671;0.54;2;-9.488;1;0.0302;0.113;0.0783;0.128;0.788;83.994;0.788;https://api.spotify.com/v1/tracks/5b7F5Dz5LjxMGvU3n2vqc5;4;spotify:track:5b7F5Dz5LjxMGvU3n2vqc5;['canadian contemporary country', 'contemporary country', 'country', 'country road', 'modern country rock', 'modern southern rock']
