;Playlist Origin;Playlist order;Artist;Track Name;Album Name;Album Release Date;Track Number;Track Popularity;Track Id;Track Duration MS;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Valence;Track_href;Time_signature;uri;Genres
14;LB_Top100_18;15;Alonzo;Santana;Taxi 5 (Bande originale inspirée du film);2018-04-06;1;64;0G0WC5ghZRRH6LJNNXtK1W;230106;0.786;0.755;8;-7.185;1;0.0961;0.454;5.03e-06;0.138;0.665;146.058;0.665;https://api.spotify.com/v1/tracks/0G0WC5ghZRRH6LJNNXtK1W;4;spotify:track:0G0WC5ghZRRH6LJNNXtK1W;['francoton', 'french hip hop', 'french pop', 'trap francais']
15;LB_Top100_18;16;KeBlack;On est equipé;"Kuduro Reggaeton Hits Spring 2016 : #Afro-Latino #Urban #Party 1 Sélection ""African Moove"" By Youssoupha";2016-03-11;1;20;6tHSO6h9gm2BibStyuee7M;179973;0.802;0.798;7;-2.489;1;0.25;0.119;0;0.165;0.786;129.983;0.786;https://api.spotify.com/v1/tracks/6tHSO6h9gm2BibStyuee7M;4;spotify:track:6tHSO6h9gm2BibStyuee7M;['francoton', 'french hip hop', 'trap francais']
16;LB_Top100_18;17;Oliver Dragojevic;Romanca;Original Album Collection, Vol. 1;2016-01-01;1;19;4RNpt8np8sPhg7AHrf3mXV;286453;0.38;0.398;3;-10.293;1;0.0371;0.758;0.00175;0.082;0.236;117.018;0.236;https://api.spotify.com/v1/tracks/4RNpt8np8sPhg7AHrf3mXV;4;spotify:track:4RNpt8np8sPhg7AHrf3mXV;['croatian pop', 'yugoslav rock']
17;LB_Top100_18;18;Disiz La Peste;Owi;Disizilla;2018-09-14;1;42;1GNxNQu1ogQsqEo6tZrLBE;194946;0.699;0.46;5;-10.57;0;0.0663;0.215;3.4e-05;0.137;0.183;84.993;0.183;https://api.spotify.com/v1/tracks/1GNxNQu1ogQsqEo6tZrLBE;4;spotify:track:1GNxNQu1ogQsqEo6tZrLBE;['french hip hop', 'rap conscient', 'trap francais']
18;LB_Top100_18;19;Yaniss Odua;Rouge Jaune Vert;Moment Idéal;2013-05-27;1;46;5ZJVGfU6ZLoja8qjLUUHLJ;251720;0.757;0.789;7;-4.135;0;0.214;0.28;0;0.0841;0.841;149.402;0.841;https://api.spotify.com/v1/tracks/5ZJVGfU6ZLoja8qjLUUHLJ;4;spotify:track:5ZJVGfU6ZLoja8qjLUUHLJ;['french reggae']
19;LB_Top100_18;20;Orelsan;Si seul;Le chant des sirènes;2011-09-26;1;50;5whn3ZJ5WLEnjoqfvcUKDu;247465;0.446;0.815;6;-6.24;0;0.178;0.0309;0;0.195;0.334;91.97;0.334;https://api.spotify.com/v1/tracks/5whn3ZJ5WLEnjoqfvcUKDu;4;spotify:track:5whn3ZJ5WLEnjoqfvcUKDu;['belgian hip hop', 'french hip hop', 'rap conscient']
20;LB_Top100_18;21;Kanye West;All Mine;ye;2018-06-01;1;58;3qnoOm4fwZPBS116f5hpgF;145506;0.925;0.308;11;-6.562;0;0.338;0.125;0;0.0933;0.265;122.099;0.265;https://api.spotify.com/v1/tracks/3qnoOm4fwZPBS116f5hpgF;4;spotify:track:3qnoOm4fwZPBS116f5hpgF;['pop rap', 'rap']
21;LB_Top100_18;22;Scott Bradlee's Postmodern Jukebox;Creep;Emoji Antique;2015-04-23;1;59;3AOcpwgy3V2Fwg7B8PZfKl;283259;0.292;0.359;5;-9.043;1;0.0328;0.697;1.85e-05;0.108;0.228;177.334;0.228;https://api.spotify.com/v1/tracks/3AOcpwgy3V2Fwg7B8PZfKl;3;spotify:track:3AOcpwgy3V2Fwg7B8PZfKl;['swing']
22;LB_Top100_18;23;Damso;Même issue;Lithopédion;2018-06-15;1;54;1HDv4ptf1kBNMzqmlL3JcI;196173;0.551;0.704;1;-7.425;0;0.0531;0.016;0.000847;0.162;0.653;130.03;0.653;https://api.spotify.com/v1/tracks/1HDv4ptf1kBNMzqmlL3JcI;4;spotify:track:1HDv4ptf1kBNMzqmlL3JcI;['belgian hip hop', 'french hip hop', 'rap conscient', 'trap francais']
23;LB_Top100_18;24;Booba;92i veyron;Nero nemesis;2015-12-04;1;60;6Wpgf0xNuBIUpJF2uH7swL;217893;0.795;0.683;6;-5.695;0;0.138;0.276;0;0.0735;0.397;123.066;0.397;https://api.spotify.com/v1/tracks/6Wpgf0xNuBIUpJF2uH7swL;4;spotify:track:6Wpgf0xNuBIUpJF2uH7swL;['belgian hip hop', 'french hip hop', 'rap conscient', 'trap francais']
24;LB_Top100_18;25;De Palmas;Sur la route;la derniere annee;1994;1;51;4O1JvKJX1rRjrtZUSoWrkr;221666;0.833;0.428;4;-14.629;1;0.0479;0.638;0.014;0.118;0.751;110.019;0.751;https://api.spotify.com/v1/tracks/4O1JvKJX1rRjrtZUSoWrkr;4;spotify:track:4O1JvKJX1rRjrtZUSoWrkr;['chanson', 'french pop']
